Title,body,manual
Afterschool AmeriCorps - STEM Coach,QR Code Link to This Post ALASKA CHILDREN S TRUST Alaska Afterschool Network AmeriCorps Afterschool STEM Coach Launch rockets erupt volcanoes code robots design roller coasters study wildlife and engineer solutions with students during after school hours as an Afterschool STEM Coach STEM Coaches engage K 5 students in fun hands on STEM Science Technology Engineering and Math learning and guide students as they develop their creativity explore technologies and engage in scientific inquiry Participants commit to one year of service as an AmeriCorps member at an existing afterschool program providing academic enrichment social emotional learning and wellness opportunities for school age youth For their service STEM Coaches receive both a living stipend and an education award as well as professional development skills and experience to advance their careers Positions available statewide Email LTegner alaskachildrenstrust org for more information Supervision STEM Coaches will report directly to their Site Supervisor s and to the AmeriCorps Program Specialist Education Experience High School Diploma or GED required Experience working with school age youth preferred Skills Ability to work as a team member Ability to learn and apply new skills Excellent verbal and written communication skills Commitment to providing equitable services to diverse populations Self motivated and able to perform duties without direct supervision Willing to travel to in state meetings and conferences Commitment to community service Ability to lift up to 25 pounds and prepare program space Job Duties Serve during afterschool program hours 2 00 6 00 PM Lead hands on activities with students at an afterschool program four days per week including at least two 30 minute STEM activities per week Engage in ongoing professional development and coaching to strengthen your skills to ensure student success Facilitate a positive and safe learning environment for diverse student learners Maintain constructive relationships with students coworkers and supervisors Maintain open communication and attend regularly scheduled meetings with program staff and community partners Submit timesheets program data and surveys to measure student impact Commit to fulfilling required member service hours within your service term Model the AmeriCorps ethic of community service and responsibility and show a commitment to improving the lives of others Follow the Alaska Afterschool Network AmeriCorps Operations Manual Follow all policies and procedures of the afterschool program Full time Requirements Term Length 1 year 11 months Required Hours of Service 1700 minimum Daily Schedule 8 hour days 4 5 days per week Full time Benefits Living Allowance 17 000 per year Segal Education Award 6 345 00 per year 50 00 month cell phone allowance Healthcare vision and dental provided through the Corps Network Mental health care and personal coaching rom the Member Assistance Program MAP Free childcare funded by the AmeriCorps federal agency Non competitive eligibility for federal positions for one year after year of service Free professional development and training on afterschool facilitation strategies and equity and inclusion in STEM Attendance to the Alaska Out of School Time Conference in Anchorage AK Part time Requirements Term Length 1 Semester 18 weeks Required Hours of Service 1300 minimum Daily Schedule 4 5 hour days 4 days per week Part time Benefits Living Allowance 2 400 per semester Segal Education Award 1 342 86 per semester Mental health care and personal coaching rom the Member Assistance Program MAP Non competitive eligibility for federal positions for one year after year of service Free professional development and training on afterschool facilitation strategies and equity and inclusion in STEM Attendance to the Alaska Out of School Time Conference in Anchorage AK NOTES Diversity is a core component to the work at the Alaska Children s Trust We are passionate about building and sustaining an inclusive and equitable environment for all employees We believe every member on our team enriches our diversity by exposing us to a broad range of ways to understand and engage with the world identify challenges and to discover design and deliver solutions Jobs are dynamic and assignments priorities may change It is not intended or implied to be an employment contract but is a communication tool to explain the responsibilities advertise the job and identify performance measures and potential training needs This description does not imply or create a contractual relationship ACT is an at will employer HOW TO APPLY Qualified applicants should complete the application and submit an updated r sum using the following link https docs google com forms d 1hnm1 bPbZ9VZDsZ9WMRpgt34E8mRFnoypA4SWCKxs2w viewform edit requested true The position will remain open until the position is filled ,1
Youth Advocate,QR Code Link to This Post Youth Services Advocate Access Alaska Inc We strongly encourage people who experience a disability to apply Risk Prevention Protocol For the safety of our Employees Consumers and Visitors Offices remain open by appointment only Staff Consumers and Visitors all must complete the Risk Management protocols when accessing Access Alaska Inc s Community Centers which include Check in at the front desk sanitize hands your temperature will be taken and Questionnaire Completion Do you have a passion for working with youth experiencing disabilities Do you find excitement in engaging youth in a classroom setting Do you possess the ability to be a leader in real life work settings Would you like to make an impact on a young person s short term and long term career goals Goal Development Assesses participants needs and goals alongside parents legal guardians or other applicable legal representatives Assists youth participants in identifying and resolving any access barriers while also assisting in acquisition of specialized skills or increased capacities needed to implement their own independent living plan Skills Training Helps youth access resources and information including multi agency collaboration and education regarding their rights how to self advocate for their needs and how to complete the administrative process and paperwork needed to secure those services Provides vocational and employment skill building activities i e resume writing interview skills professionalism job search skills to assist consumers to find and sustain consistent work Provides comprehensive employment further education and independent living skills training to local high school students ages 15 19 who are actively enrolled in the FNSBSD and are eligible for special education services Support students as they participate in hands on work experiences at local businesses local educational institutions and other entities which contribute to youth skills training and resources Engage in a summer work program sessions alongside Pre ETS Youth Services Independent Living Manager Service Coordination Assists with locating peers applicable professionals and role models in the community Responsible to work alongside Pre ETS Youth Services Manager to coordinate and facilitate Summer Work Program Coordinates daily and weekly schedule alongside Pre ETS Youth Services Manager as needed Enters goals services all contacts and demographic information in CIL Suite database in a thorough accurate and consistent manner Also responsible for maintenance of consumer hard files and Access Alaska internal paperwork as well as State of Alaska Division of Vocational Rehabilitation paperwork Provide hands on modeling job coaching student evaluations and educational lessons during Summer Work Program Advocacy Participates in efforts that empower youth with disabilities to create lasting systems changes Conducts meetings workshops to heighten awareness provide information on disability rights Assist consumers with personal advocacy tasks Additional Responsibilities Other duties as assigned Education and Training Requirements 2 years of college or equivalent topic specific training BS BA in social services preferred Experience 3 yrs in the health and human services field working with directly with clients or consumers Experience as a vocational or employment specialist preferred Preferred Must be highly flexible organized creative and efficient Must be able to relate to others and be comfortable with youth Must be culturally responsive and aware of nuances of familial structure disability socioeconomic status race as they relate to employment etc Excellent written verbal and computer skills necessary Excellent public speaking skills Must be able to make independent decisions with confidence while ensuring compliance with all agency policies and confidentiality protocols Person directed trauma informed and consumer oriented service delivery Core Expectations Confidentiality integrity professionalism and a strong work ethic Active support of our Mission Customer directed services Hourly Rate 17 24 to 21 21 DOE Benefits Accrued paid time off 11 paid holidays 3 days paid Bereavement ICHRA Medical Plan Vision Dental Life and AD D insurance Supplemental insurances available with Colonial To Apply www accessalaska org employment Scroll down to open positions click on position s applying for see job description upper right corner you will see Apply for this job click complete add Resume and cover letter Position is open until filled Access Alaska Inc is an equal opportunity employer Access Alaska Inc makes every effort to ensure that in every phase of its recruitment and selection processes equal employment opportunity is provided to all individuals regardless of race color genetics sex gender identity or expression sexual orientation age religion marital status change in marital status pregnancy parenthood disability national origin or citizenship or veteran s status Access Alaska Inc is an at will employer,1
"Snowmachine Guide - $16/Hour, Plus Staff Housing + Tips!",QR Code Link to This Post At Borealis Basecamp we are dedicated to providing the best customer service in Alaska to our guests We are an experiential destination just outside of Fairbanks where guests from all over the world gather to watch the northern lights and experience Alaska s beauty We seek dedicated friendly energetic people who enjoy interacting with guests from all over the world to join our team You will be leading guests into the wilderness and through our trail systems by safely navigating the terrain and obstacles Assist drivers with how to operate a snowmachine and briefing guests on safety information for all machines Entertain guests by informing them on the sights they are seeing and fun facts about the area Answer guest questions Make judgement calls to maintain the safety of our guests and machines Wash dry fuel and park snowmachines ATVs and UTVs Perform maintenance on trails Efficiently pack guide bags and perform regular inventory on fuel levels and consumables Job Requirements The ability to hold a conversation with a stranger for several minutes is a crucial part of this position Demonstrated experience riding ATV s and ability to stay calm in an emergency required Ability to lift a snowmachine if it gets stuck Must be highly personable and willing to provide great customer service High school diploma or GED preferred CPR and Wilderness First Aid certified Willingness to work in the outdoors in Arctic climate is crucial Ability to stand on feet for up to 8 hours a day Any and all duties as assigned high level situation awareness How to Apply Please send us your resume and any medical training you have WFR WFA CPR First Aid to activities borealisbasecamp net,0
Toddler Teacher Needed,QR Code Link to This Post This is a wonderful opportunity for someone looking to work for a family owned facility with a great culture and caring families We strive to offer the children a mix of academics and play throughout the day Come join the team today Thank you Starting at 16 per hour based on experience Schedule Flexible Hours and Full Time Hours Available Need a Toddler Teacher 7 30am 4 30pm or 9 00 6 00 Monday Friday Job Description and Requirements Looking for friendly and dependable experienced people to conduct creative daily lessons and activities to help children learn language social and motor skills Must have TB skin test negative Fingerprint Clearance Card 12 months experience in a licensed facility is required Daily Responsibilities Daily lessons and activities to encourage child development Teach colors shapes letters and numbers recognition Introduce children to activities that encourages expansion of their interests Monitor child safety on the playground and assist children with lunchtime and snacks Benefits and Discounts Paid Time Off Student Discounts,1
Gymnastics Coaches Needed,QR Code Link to This Post Gymnastics Coaches Needed North Phoenix Part time Full Time Impact Gymnastics Academy is growing and we need more coaches We have just expand our facility to over 24 000 sq ft We are located on Northern and 12th st 7812 N 12st Phoenix AZ 85020 We are looking for more coaches to join our team Individuals must be responsible dependable lifelong learners creative positive team players and most importantly love working with children For all positions listed below we are looking for individuals who are willing to work evening hours or morning hours and who understand that the primary coaching hours are from 9 12 or 4 8 PM as these are our main business hours Positions Needed Compulsory Developmental Coach Needed Impact Gymnastics is looking for individuals with experience at the compulsory level and who have knowledge of routines Must have spotting capabilities and love working with children Kindergym Coach Impact is looking for coaches who are good with children have coaching experience and are dependable and responsible Must love children and have an outgoing personality Possessing gymnastics skills is a plus but not a necessity Hours will be primarily either 9am 1pm or 3 30 7 30pm Monday Friday and Saturday 9 1pm Recreational Coach Impact is looking for a fun experienced and dependable coach who is good with children and able to coach all basic entry level gymnastics skills Must have some gymnastics experience knowledge Ninjazone Coach Our Ninjazone program is booming We are looking for male or female coaches with lots of energy positive attitudes and a love for kids Some gymnastics or karate or parkour is preferred but not necessary Grumpy people need not apply Compensation is based upon experience Location 12th Street and Northern North Central Phoenix,1
Finding Amazing Lead Teachers to Join our Nature-Based Preschool & Day,QR Code Link to This Post Chandler Jewish Preschool and Tamim Academy of Chandler are currently hiring experienced lead teachers for children one year old through second grade We are a small Reggio Emilia inspired Jewish preschool and day school committed to providing a high quality developmentally appropriate educational program that views each child as unique and special We believe that there are very amazing people who want to work for our truly special program If you love children have lots of energy communicate well with co workers and families enjoy being in a warm and welcoming non corporate environment this may be the place for you We support our teachers in their professional development and provide bonuses holidays and in services training opportunities and more Each of our classrooms become their own little world and our lead teachers are the curators of the space and the community of their world Lead teachers are asked to prepare Reggio Emilia inspired lesson plans that align with the interests of the children and Jewish values as well as observe document and reflect on student experiences so that parents have a picture of the learning process Lead teachers guide assistant teachers and work as a team with daily tasks such as cleaning preparing provocations and communicating with families We are looking for teachers who understand the importance of creating clear routines and calm spaces full of magic connection and learning each day We all work hard and we are seeking teachers who are ready to join us in truly meeting the needs of each student in our program Applicants should have an Associate s Degree with an Early Childhood Certificate or a Bachelor or Master s Degree in Early Childhood or Elementary Education as well as at least two years of experience in a licensed childcare center or elementary school The ideal applicant has targeted professional goals to advance as a practitioner in the field of Early Childhood Education ,1
Substitute Teacher K-12 | Sub Teacher Credential REQUIRED,QR Code Link to This Post The best place to be a substitute teacher Choose where when and what you teach Flexibility at your fingertips Apply once and choose from hundreds of jobs at schools near you A modern subbing experience Our mobile app has everything you need to find and prepare for assignments Control your earning potential Every Friday is payday and you can earn rewards for hitting work day goals Work that fits your life Take on a long term position or choose a new assignment every day How to get started Complete the registration form Submit the required documentation Accept your first assignment Qualifications Required 4 year degree from an accredited university in the U S Required Substitute or Teacher credential Preferred Prior teaching tutoring childcare experience ,1
Now Hiring 15 passenger Van Driver,QR Code Link to This Post Kids Koala T Kampus Preschool is hiring a 15 passenger van driver to transport children to and from local hours split shift 7 00 am 9 00 2 30 4 30 can split up or add additional hours if wanted School Also hiring 3 4 year old teacher 7 00 am 12 00 pm extra hours may be available if wanted Bonuses Mon Fri No weekends or nights or major holidays Free and 1 2 off childcare Must be 25 years or older and have a clean driving record for van position Please come in and apply Kids Koala T Kampus Preschool 6025 N 67 th avenue Glendale Az 85301 623 934 5689 Starting at 14 00 hourly,0
Daycare Staff.,QR Code Link to This Post Job Description A Lead Teacher and Asst Teacher will be responsible for the academic social emotional growth and development of all children in their care Children age ranges will include infants to 12 years of age Lead Teacher are also responsible for assuring compliance with all codes of State and local governing contracting agencies and works harmonious with other staff members of Kidworks Academy Develops and implements weekly plans and age appropriate curriculum lesson plan to nurture and stimulate all realms of children s development in their care Skills Previous experience in childcare teaching or other related fields Passionate about working with children Ability to build rapport with children Positive and patient demeanor Excellent written and verbal communication skills 6 months experience in a licensed child care facility CPR First Aid Fingerprint Clearance Card Food Handler s Card Negative TB Test High School Diploma or GED Desired Qualifications Experience in a Daycare center High school diploma GED First Aid Training CPR Training Early Child Development Coursework Ability to lift and carry up to 25 pounds and in case of an emergency a 40 pound child Must frequently walk around classroom listen and talk to children Often required to stand reach with hand and arms stoop kneel crouch bend and squat Company Description The facility is open Monday Friday from 5 30 am to 8 30 pm Saturday from 6 30 am to 5 30 pm We serve breakfast lunch afternoon snack and dinner We require a strong emphasis on cleaning and treating the kids with love and kindness Assistant Director will need to be proficient in all areas of a daycare environment including DES billing and the Federal Food program Procare knowledge a Plus Additional Information Compensation Dependent on experience Industry Child Care Pre School Availability Full time Part Time If including Resume please send in PDF format ,0
Seeking Assistant teachers for 2 & 3 year olds,QR Code Link to This Post Must have 6 month experience Must have finger print clearance card and TB test Qualified candidates will be passionate about children and supporting their early learning in an academic environment Believe in creating a safe caring inclusive and bully free environment for all children Great communicator that builds relationships with parents to support their child s learning Capable of using technology and social media to stay connected with parents and reach out to potential parents Speaking a second language would be an asset Able to work as part of a team both collaboratively and cooperatively Able to teach and follow an academic curriculum and know that play with purpose and inquiry based learning is key Call 480 474 4455 or Email lori green maplebeartempe com,1
